217.51,121.9,188.45,133.7,29.06,77.5,53.63,102.7,163.88,129.8,0.56114,-0.3693,3.368e-05,0.00028265,0.00020157,14,0.00056074,2.8909e-05,0.00098666,25.753,0.0010137,0.0010627,0.00096048,821.37,0.0010185,0.0023985,0.00085061,1208.7,0.0010535,0,0.0012786,0.33652,9,11
67.13,31.6,59.92,33.8,7.21,20.4,46.04,33.7,21.08,27.6,0.42129,-0.2776,0.00037796,0.00030358,0.00055813,29,0.00093901,3.0362e-05,0.0010664,27.811,0.0010807,0.0014329,0.0013448,1123.7,0.001323,0.0024173,0.00091611,1314.5,0.0011314,0,0.0011333,0.33333,7,8.5
78.38,67.3,74.18,95,4.2,10.9,50.03,103,28.35,41.7,0.47129,-0.4166,9.3398e-05,0.00029172,0.0003227,20,0.00071633,2.8867e-05,0.0010093,26.443,0.001037,0.00097456,0.00086178,747.2,0.00094407,0.0023938,0.00086439,1254.3,0.0010889,0,0.001298,0.34351,7,8.5
44,40.8,41.49,59.8,2.51,6.5,41.9,58.7,2.1,5.7,0.41045,-0.3952,0.00062263,0.00029248,0.00044292,29,0.001003,2.9585e-05,0.0010475,27.453,0.0010702,0.001131,0.0011359,928.23,0.0011164,0.002393,0.0008798,1257.2,0.0010893,1,0.0012577,0.32083,7,8.5
1.53,0.9,1.53,1.1,0,0,1.53,1.1,0,0,0.34458,-0.293,0.0015602,0.00030675,0.00073691,39,0.0012124,3.1462e-05,0.0011368,29.64,0.0011406,0.0012652,0.0014803,1164.6,0.001345,0.0024904,0.00096457,1368.6,0.001169,1,0.0010386,0.3343,6,7.5
120.71,50.6,114.99,57.1,5.72,15.3,43.69,56.2,77.02,47.8,0.37182,-0.3653,0.00058419,0.00030525,0.00065164,31,0.00097429,3.0213e-05,0.0010851,28.378,0.0011,0.0011655,0.0010638,936.19,0.0011427,0.0024117,0.00088085,1281.9,0.0011094,0,0.0011559,0.35214,7,8.5
64.28,55.2,60.92,78,3.36,8.8,52.98,109.1,11.3,16.6,0.41476,-0.4166,0.00020491,0.00029214,0.00042857,26,0.00088233,2.9017e-05,0.0010373,27.255,0.0010643,0.00097456,0.00086178,747.2,0.00094407,0.0023946,0.00087917,1289.5,0.0011158,1,0.0013117,0.34445,8,9.5
26.8,18.6,26.74,25.2,0.06,0.2,1.82,3.9,24.98,25.6,0.34504,-0.4001,0.0014735,0.00030675,0.00074563,40,0.0012453,3.0518e-05,0.0011102,29.104,0.0011244,0.00099443,0.00087479,769.82,0.00097081,0.0024363,0.00091735,1319.8,0.0011355,1,0.0011404,0.33648,7,8.5
18.19,12,14.57,12.8,3.62,9.7,14.57,12.6,3.62,10.1,0.33068,-0.3924,0.00076902,0.00031124,0.00080627,36,0.0010848,3.1367e-05,0.0011537,30.139,0.0011575,0.0012324,0.0014146,1117.4,0.0012985,0.0023905,0.00091007,1320.7,0.0011376,0,0.0010293,0.3602,7,8.5
60.74,52.1,60.73,77.7,0.02,0,33.93,69.9,26.81,39.5,0.38119,-0.4166,0.0002509,0.00029351,0.00055652,27,0.00086676,2.9335e-05,0.0010644,27.975,0.001088,0.00097456,0.00086178,747.2,0.00094407,0.002326,0.00082509,1223.4,0.0010695,0,0.0012037,0.38894,8,9.5
